condition,cell_type,slice_id,field,hemisphere,field_index,replicate,count,session,session_group
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x01,UL,1,2,25,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x01,UL,1,3,28,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x01,UL,1,4,23,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,1,15,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,2,20,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,3,23,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,4,19,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,5,22,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x03,UL,3,1,53,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x04,UL,4,1,21,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x04,UL,4,2,23,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x05,UL,5,1,9,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x05,UL,5,2,25,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x06,UL,6,1,33,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x07,UL,7,1,20,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x07,UL,7,2,31,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x07,UL,7,3,26,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x07,UL,7,4,18,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x08,UL,8,1,22,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x08,UL,8,2,19,L4.ST8,L4.ST8
Intact,NDNF+,L4.ST8.C,L4.ST8.C.UL_60x08,UL,8,3,19,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x01,L,1,1,25,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x01,L,1,2,15,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x01,L,1,3,10,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x01,L,1,4,34,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x02,L,2,1,11,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x02,L,2,2,19,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x03,L,3,1,14,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x03,L,3,2,29,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x03,L,3,3,15,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x04,L,4,1,32,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x04,L,4,2,23,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x04,L,4,3,24,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x04,L,4,4,27,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x05,L,5,1,34,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x05,L,5,2,31,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x05,L,5,3,25,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x05,L,5,4,35,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x06,L,6,1,22,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x06,L,6,2,18,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x07,L,7,1,20,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x07,L,7,2,31,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x08,L,8,1,34,L4.ST8,L4.ST8
Lesioned,NDNF+,L4.ST8.C,L4.ST8.C.L_60x08,L,8,2,33,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x01,UL,1,1,5,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x01,UL,1,2,4,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x01,UL,1,3,10,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x02,UL,2,1,12,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x02,UL,2,2,9,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x03,UL,3,1,5,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x03,UL,3,2,12,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x03,UL,3,3,18,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x04,UL,4,1,10,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x04,UL,4,2,11,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x05,UL,5,1,7,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x05,UL,5,2,14,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x06,UL,6,1,5,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x07,UL,7,1,3,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x07,UL,7,2,5,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x08,UL,8,1,7,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.B,L4.ST8.B.UL_60x08,UL,8,2,10,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x01,UL,1,1,11,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x02,UL,2,1,6,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x03,UL,3,1,6,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x04,UL,4,1,11,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x05,UL,5,1,11,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x05,UL,5,2,7,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x06,UL,6,1,5,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x06,UL,6,2,4,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x07,UL,7,1,0,L4.ST8,L4.ST8
Intact,TH+,L4.ST8.C,L4.ST8.C.UL_60x08,UL,8,1,13,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x01,L,1,1,2,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x02,L,2,1,5,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x02,L,2,2,6,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x03,L,3,1,5,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x03,L,3,2,4,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x04,L,4,1,9,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x04,L,4,2,4,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x05,L,5,1,5,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x05,L,5,2,9,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x06,L,6,1,9,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x06,L,6,2,9,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x06,L,6,3,5,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x07,L,7,1,3,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.B,L4.ST8.B.L_60x07,L,7,2,4,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.C,L4.ST8.C.L_60x04,L,4,1,2,L4.ST8,L4.ST8
Lesioned,TH+,L4.ST8.C,L4.ST8.C.L_60x05,L,5,1,9,L4.ST8,L4.ST8
