"condition","cell_type","slice_id","field","hemisphere","field_index","replicate","count","session","session_group","Animal","Group","SliceID","var"
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x01","L",1,4,11,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",11
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x02","L",2,1,10,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",10
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x02","L",2,2,11,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",11
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x02","L",2,3,12,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",12
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x02","L",2,4,7,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",7
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x03","L",3,1,7,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",7
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x03","L",3,2,15,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",15
"Lesioned","NDNF+","L2.ST8","L2.ST8.L_60x03","L",3,3,16,"L2.ST8","L2.ST8","L2","6OHDA","L2.ST8",16
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x01","L",1,1,34,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",34
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x01","L",1,2,25,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",25
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x02","L",2,1,17,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",17
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x02","L",2,2,17,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",17
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x02","L",2,3,15,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",15
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x02","L",2,4,19,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",19
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x03","L",3,1,19,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",19
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x03","L",3,2,12,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",12
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x03","L",3,3,29,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",29
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x03","L",3,4,24,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",24
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x04","L",4,1,15,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",15
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x04","L",4,2,7,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",7
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x04","L",4,3,25,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",25
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x04","L",4,4,10,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",10
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x05","L",5,1,29,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",29
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x05","L",5,2,23,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",23
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x05","L",5,3,19,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",19
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x05","L",5,4,30,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",30
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x06","L",6,1,18,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",18
"Lesioned","NDNF+","L3.ST6c","L3.ST6c.L_60x07","L",7,1,8,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6c",8
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x01","L",1,1,22,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",22
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x01","L",1,2,22,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",22
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x01","L",1,3,24,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",24
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x01","L",1,4,13,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",13
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x02","L",2,1,21,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",21
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x02","L",2,2,8,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",8
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x02","L",2,3,18,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",18
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x02","L",2,4,15,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",15
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x03","L",3,1,20,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",20
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x03","L",3,2,25,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",25
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x03","L",3,3,16,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",16
"Lesioned","NDNF+","L3.ST6d","L3.ST6d.L_60x04","L",4,1,15,"L3.ST6","L3.ST6","L3","6OHDA","L3.ST6d",15
